RANK,Institue id,college name,city,state,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,GMS,GPHD,RD,WD,ESCS,PCS,PR,TLR,RP,GO,OI,PR,TOTAL
1,IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,18.50,30.00,18.10,28.82,33.20,36.44,15.00,10,30.68,15,20.8,17.41,19.56,13.53,8.22,20,100,28.626,28.392,16.778,6.131,10,89.927
2,IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,18.24,28.41,18.57,25.26,35,39.31,13,8.84,27.82,13.09,21.49,17.97,23.94,17,3.87,20,94.46,27.144,28.845,16.074,6.481,9.446,87.99
3,IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,18.5,30,19.21,23.3,33.51,36.17,15,8.7,26.82,13.66,19.39,17.72,18.94,12.68,4.37,14,92.51,27.303,28.014,15.518,4.999,9.251,85.085
4,IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,18.5,25.13,16.5,26.09,29.41,31.96,13,7.71,35.08,15,21.99,16.37,18.55,7.75,7.92,20,85.78,25.866,24.624,17.688,5.422,8.578,82.178
5,IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,17.99,24.75,16.14,18.44,32.46,39.12,10,5.53,27.7,14.2,21.3,20,20.93,10.31,5.38,20,89.31,23.196,26.133,16.64,5.662,8.931,80.562
6,IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,18.5,23.89,15.57,19.25,31.71,35.96,4,4.91,35.63,15,20.96,18.07,24.92,11.74,5.04,20,60.55,23.163,22.974,17.932,6.17,6.055,76.294
7,IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,16.61,29.16,17.48,19.79,28.8,31.04,6,4.88,30.12,15,21.78,16.12,23.12,10.86,5.15,20,62.45,24.912,21.216,16.604,5.913,6.245,74.89
8,IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,11.5,30,16.26,24.75,20.87,20.87,5,5.73,31.45,15,19.38,5.72,16.59,13.66,5.72,20,60.42,24.753,15.741,14.31,5.597,6.042,66.443
9,IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,15.18,24.24,15.06,17.63,20.96,22.37,3,3.72,33.01,15,16.72,9.98,15.74,20.29,5.46,20,63.68,21.633,15.015,14.942,6.149,6.368,64.107
10,IR-E-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,9.83,29.5,17.09,23.47,23.25,24.44,2,3.62,28.56,15,19.82,8.72,19.42,12.09,6.25,20,27.15,23.967,15.993,14.42,5.776,2.715,62.871
11,IR-E-U-0701,Indian Institute of Technology (BHU) Varanasi,Varanasi        ,Uttar Pradesh	,16.25,23.4,14.89,17.8,20.03,23.54,2,2.19,33.8,14.22,20.24,9.51,17.05,9.99,9.03,20,53.49,21.702,14.328,15.554,5.607,5.349,62.54
12,IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand	,15.89,19.06,12.97,16.11,27.19,30.54,2,3.39,31.15,15,16.91,9.05,20.31,6.17,8.58,20,39.78,19.209,18.936,14.422,5.506,3.978,62.051
13,IR-E-U-0237	,National Institute of Technology Karnataka,Surathkal,Karnataka,14.71,22.59,14.38,17.26,20.96,20.67,2,2.4,36.17,15,16.49,11,14.73,14.4,6.11,20,55.59,20.682,13.809,15.732,5.524,5.559,61.306
14,IR-E-U-0439,Anna University,Chennai,Tamil Nadu,18.6,22.63,12.92,10.47,20.04,27.27,4,2.76,20,15,13.06,13.44,1.35,26.61,3.67,20,68.24,19.386,16.221,12.3,5.163,6.824,59.894
15,IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,17.54,17.83,11.25,10.17,25.66,33.13,5,0.27,23.47,11.96,13.16,14.48,17.9,20.18,0.13,20,46.29,17.037,19.218,12.614,5.821,4.629,59.319
16,IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,15.26,21.15,14.38,13.59,25.43,28.22,2,2.17,33.7,12.74,14.71,13.15,12.99,12.37,1.87,20,30.48,19.314,17.346,14.86,4.723,3.048,59.291
17,IR-E-U-0575,Jadavpur University,Kolkata,West Bengal,17.07,16.83,10.03,9.8,28.1,29.58,1,3.36,31.59,14.36,15.27,15.23,4.53,12.52,5.4,18,51.61,16.119,18.612,15.29,4.045,5.161,59.227
18,IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,9.77,21.28,14.12,22.96,18.88,21.62,7,6.53,34.88,14.71,13.91,11.15,4.68,23.81,2.68,14,25.98,20.439,16.209,14.93,4.517,2.598,58.693
19,IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,16,25.47,16.78,15.13,16.61,17.01,2,2.5,33.88,15,17.23,8.1,17.8,16.74,3.27,20,36.91,22.014,11.436,14.842,5.781,3.691,57.764
20,IR-E-U-0436	,Amrita School of Engineering,Amritapuri,Kerala,16.75,24.96,13.41,10.65,25.25,21,9,1.5,30.25,15,10.9,2.85,15.84,22.66,1.57,20,28.01,19.731,17.025,11.8,6.007,2.801,57.364
21,IR-E-U-0584,Indian Institute of Engineering Science and Technology,Shibpur	,West Bengal,13.45,25.98,15.19,14.95,22.93,21.01,1,2.67,23.86,12.92,15.02,11.37,11.56,13.8,2.56,20,45.56,20.871,14.283,12.634,4.792,4.556,57.136
22,IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,9.97,29.01,17.15,20.93,15.82,16.42,1,3.93,31.15,14.03,17.51,2.08,21.36,11.34,3.57,20,39.56,23.118,11.151,12.954,5.627,3.956,56.806
23,IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,15,26.08,16.51,13.46,14.31,13.02,3,0.97,36.67,15,16.05,10.56,14.32,22.05,7.5,20,38.04,21.315,9.39,15.656,6.387,3.804,56.552
24,IR-E-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,8.64,30,18.62,26.5,14.15,12.54,1,6.87,24,12.32,16.11,2.72,19.24,15.11,3.56,20,38.26,25.128,10.368,11.03,5.791,3.826,56.143
25,IR-E-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,9.41,30,17.16,22.54,11.81,14.49,1.5,2.74,32.22,14.6,18.62,4.87,20.15,12.79,6.3,20,30.75,23.733,9.162,14.062,5.924,3.075,55.956
26,IR-E-U-0064,Indian Institute of Technology Patna,Patna,Bihar,9.17,30,17.02,22,18.21,16.73,1,3.3,26,12.51,18.64,5.13,16.43,8.87,6.56,20,28.57,23.457,11.772,12.456,5.186,2.857,55.728
27,IR-E-U-0334,Visvesvaraya National Institute of Technology,Nagpur	,Maharashtra,14.34,22.84,15.16,15.36,17.72,18.54,4,4.93,31.7,15,14.37,8.66,13.49,18.33,1.95,20,15.56,20.31,13.557,13.946,5.377,1.556,54.746
28,IR-E-U-0108	,Jamia Millia Islamia,New Delhi,Delhi	,9.5,27.79,15.37,10.5,21.49,21.25,3,2.37,33.7,15,15.74,7,22.4,9.8,5.8,20,11.13,18.948,14.433,14.288,5.8,1.113,54.582
29,IR-E-I-1480,Thapar Institute of Engineering & Technology,Patiala,Punjab,15.65,22.74,14.27,13.29,20.3,25.67,0.5,1.18,29.34,15,14.94,6.4,13.24,20.72,0.86,20,17.42,19.785,14.295,13.136,5.482,1.742,54.44
30,IR-E-U-0391,Birla Institute of Technology & Science,Pilani,Rajasthan	,17.91,17.97,11.89,14.18,15.8,17.62,1,0.44,37.97,15,19.68,4.71,22.58,13.65,0.03,20,42.47,18.585,10.458,15.472,5.626,4.247,54.388
31,IR-E-U-0184,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,9.7,23.51,15.73,21.44,16.49,16.13,1,3.18,28.36,15,18.83,4.92,20.84,16.78,7.08,20,21.26,21.114,11.04,13.422,6.47,2.126,54.172
32,IR-E-U-0497,Amity University Noida,Gautam Budh Nagar,Uttar Pradesh,14.7,30,15.81,10.72,22.04,18.58,9,0.5,21.54,15,10.38,4.1,14.3,22.26,0.37,20,8.05,21.369,15.036,10.204,5.693,0.805,53.107
33,IR-E-U-0255,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,6.77,30,17.84,24.04,11.22,10.49,1,1.31,28.79,13.27,17.91,2.92,16.72,20.02,6.23,20,33.32,23.595,7.206,12.578,6.297,3.332,53.008
34,IR-E-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,16.49,30,14.24,14,11.05,14.56,3,0.79,34.12,15,10.61,8.45,13.42,30,0.83,20,10.7,22.419,8.82,13.636,6.425,1.07,52.37
